file,filter,mean,std,min,25%,50%,75%,max
PGC0002331_g.fits,g,8.647533,75.194756,-11.654885,-1.7234200239181519,0.5579041242599487,3.866262912750244,9650.951
PGC0002332_g.fits,g,25.467693,154.96823,-17.75448,1.1209100484848022,7.4001288414001465,24.88697624206543,10991.093
PGC0002352_g.fits,g,5.0185466,34.30669,-8.454344,-0.995949923992157,0.5096821784973145,2.7077791690826416,2515.4585
PGC0002357_g.fits,g,7.9711504,54.177692,-9.812001,0.10664647817611694,2.551389694213867,6.042563438415527,3921.5347
PGC0002365_g.fits,g,5.7484603,24.578045,-15.224057,-0.3935873210430145,2.898238182067871,7.080868721008301,2216.9124
PGC0002388_g.fits,g,4.2516637,13.631686,-7.55495,-0.36687037348747253,1.1371033191680908,3.3295044898986816,779.9607
PGC0002391_g.fits,g,4.4844904,24.39295,-17.166296,-2.271693468093872,0.7485114932060242,4.314050674438477,862.9906
PGC0002440_g.fits,g,4.019647,16.599321,-17.88964,-2.4405360221862793,0.5089657306671143,3.92897629737854,518.4746
PGC0002482_g.fits,g,4.075998,42.10957,-4.9294515,-0.0440446138381958,1.0206313133239746,2.2021570205688477,7899.875
PGC0002501_g.fits,g,4.970887,14.82785,-11.470887,-0.029978543519973755,2.268385410308838,5.143927097320557,836.4939
PGC0002522_g.fits,g,9.023331,61.809845,-16.894855,-2.0589816570281982,1.2238025665283203,5.468172073364258,2074.0457
PGC0002527_g.fits,g,3.6445994,31.422934,-18.545866,-2.8674397468566895,-0.18144190311431885,2.766055107116699,1755.9355
PGC0002597_g.fits,g,5.9998283,30.545616,-9.907796,-0.7512145042419434,1.20390784740448,3.62638258934021,2036.1097
PGC0002600_g.fits,g,9.685521,106.75996,-10.952098,-1.1762354373931885,0.9594993591308594,4.106959342956543,12807.485
PGC0002615_g.fits,g,4.218476,57.987885,-10.67036,-0.7737905979156494,1.1687264442443848,3.337080955505371,5288.7725
PGC0002768_g.fits,g,5.1548414,30.351143,-16.814316,-0.8244678378105164,1.903967261314392,5.031755447387695,1752.134
PGC0002800_g.fits,g,3.505846,25.397442,-10.415339,-1.6462318897247314,0.1385546773672104,2.139556407928467,1632.8278
PGC0002805_g.fits,g,0.830878,17.578222,-8.232341,-1.2831577062606812,-0.3446635901927948,0.6506655216217041,3487.1765
PGC0002889_g.fits,g,1.8019323,64.301476,-8.854379,-1.822310209274292,-0.29336416721343994,1.3464314937591553,12473.043
PGC0003072_g.fits,g,5.1815577,244.11055,-11.05713,-2.1369385719299316,-0.2052522897720337,1.9293525218963623,34860.586
PGC0003140_g.fits,g,3.6859887,28.855854,-18.970194,-2.4796719551086426,0.4001505374908447,3.653298854827881,1518.5837
PGC0003232_g.fits,g,1.3960935,8.33328,-24.744991,-3.155698537826538,1.1417690515518188,5.612961769104004,562.7015
PGC0003312_g.fits,g,4.912896,28.057549,-27.271252,-2.196988105773926,2.24983549118042,7.111551761627197,1365.8179
PGC0003314_g.fits,g,1.5608721,9.151695,-17.4344,-2.5660669803619385,0.4991735816001892,3.787224769592285,377.9831
PGC0003355_g.fits,g,5.487987,19.950174,-25.524132,-1.7937902212142944,2.795562505722046,8.028841972351074,775.4864
PGC0003377_g.fits,g,4.108989,66.24686,-5.5899405,-0.8207004070281982,0.18038560450077057,1.566487431526184,10290.744
PGC0003451_g.fits,g,19.627993,62.947315,-11.416769,3.122262477874756,7.1905741691589355,15.489447593688965,1489.0642
PGC0003496_g.fits,g,1.486556,12.023513,-12.068559,-2.08840012550354,-0.04273831844329834,2.1381797790527344,586.9427
PGC0000218_i.fits,i,8.450902,71.23715,-5.9429903,-0.9277089238166809,0.1179455891251564,2.3941001892089844,4686.702
